Vintage,Climate.zone,Hour.number,Outdoor.Temp.F.,Outdoor.Humid.,Occ.Fraction.,Demand.Power.Diff.sf.,Indoor.Temp.Diff.F.,Indoor.Humid.Diff.,Lighting.Power.Diff.pct.,MELs.Diff.pct.,Cooling.Setpoint.Diff.,Cooling.Setpoint.Diff.One.Step.,Since.DR.Started.,Since.DR.Ended.,Pre.cooling.Temp.Decrease.,Pre.cooling.Duration.,Since.Pre.cooling.Started.,Since.Pre.cooling.Ended.
2004,2A,13,89.135,56.91666667,0.5,0.777936251,4.744130629,-2.241803543,0,0,5,5,1,0,0,0,0,0
2004,2A,14,89.435,59,0.5,0.616846781,5.004856993,5.407510134,0,0,5,0,2,0,0,0,0,0
2004,2A,15,88.43,60.16666667,0.5,0.488027027,5.00190746,8.061653356,0,0,5,0,3,0,0,0,0,0
2004,2A,16,85.04,67.41666667,0.625,0.425229799,5.002262425,8.769297522,0,0,5,0,4,0,0,0,0,0
2004,2A,13,90.59,46.08333333,0.5,0.744353401,4.669550653,-5.66890348,0,0,5,6,1,0,1,4,5,1
2004,2A,14,91.04,44.58333333,0.5,0.513237022,5.005790881,-1.078027309,0,0,5,0,2,0,1,4,6,2
2004,2A,15,89.885,46.75,0.5,0.488333336,5.004910611,2.036393367,0,0,5,0,3,0,1,4,7,3
2004,2A,16,87.275,53.25,0.625,0.485799585,5.004795381,5.275746996,0,0,5,0,4,0,1,4,8,4
2004,2A,13,91.04,39.83333333,0.5,0.217054725,1.997638204,-0.268409595,0,0,2,2,1,0,0,0,0,0
2004,2A,14,90.41,40.16666667,0.5,0.114715777,2.004868226,2.075233423,0,0,2,0,2,0,0,0,0,0
2004,2A,15,89.435,41.58333333,0.5,0.073224857,2.003147217,3.120371771,0,0,2,0,3,0,0,0,0,0
2004,2A,16,88.43,43.75,0.625,0.056951968,2.002218041,3.831819922,0,0,2,0,4,0,0,0,0,0
2004,2A,13,90.59,39.83333333,0.5,0.045978689,0.989895388,1.563948849,0,0,1,1,1,0,0,0,0,0
2004,2A,14,91.04,37.83333333,0.5,-0.044684268,1.002597681,2.650534562,0,0,1,0,2,0,0,0,0,0
2004,2A,15,89.885,38.16666667,0.5,-0.06508085,1.0025221,2.560596396,0,0,1,0,3,0,0,0,0,0
2004,2A,16,87.275,50.66666667,0.625,-0.062387303,1.001055606,3.172683595,0,0,1,0,4,0,0,0,0,0
2004,2A,13,88.61,48.83333333,0.5,0.547893716,2.795118899,-4.155060622,0,0,3,5,1,0,2,6,7,1
2004,2A,14,86.645,54.41666667,0.5,0.373236058,3.00633686,2.161192878,0,0,3,0,2,0,2,6,8,2
2004,2A,15,85.55,57.83333333,0.5,0.295466088,3.002111511,5.674048843,0,0,3,0,3,0,2,6,9,3
2004,2A,16,84.845,58.16666667,0.625,0.23049804,3.000959256,6.421675191,0,0,3,0,4,0,2,6,10,4
2004,2A,13,91.565,40.83333333,0.5,0.160371929,0.998205331,0.079642375,0,0,1,2,1,0,1,8,9,1
2004,2A,14,90.785,41.16666667,0.5,0.019618826,1.002681804,3.030635997,0,0,1,0,2,0,1,8,10,2
2004,2A,15,87.65,54.25,0.5,-0.018588748,1.000989968,3.68523372,0,0,1,0,3,0,1,8,11,3
2004,2A,16,84.845,63,0.625,-0.044283301,0.999826773,3.974126252,0,0,1,0,4,0,1,8,12,4
2004,2A,13,87.905,45.5,0.5,0.782701539,5.1340501,-12.76860643,0,0,6,9,1,0,3,4,5,1
2004,2A,14,87.605,49.16666667,0.5,0.553486142,6.005300869,-8.494034624,0,0,6,0,2,0,3,4,6,2
2004,2A,15,86.825,56.41666667,0.5,0.589109111,6.006143149,-3.457981257,0,0,6,0,3,0,3,4,7,3
2004,2A,16,85.37,62.16666667,0.625,0.621916138,6.006498297,2.476582948,0,0,6,0,4,0,3,4,8,4
2004,2A,13,91.04,44.41666667,0.5,0.670702241,3.693556758,-6.152460281,0,0,4,6,1,0,2,5,6,1
2004,2A,14,91.04,44,0.5,0.438837249,4.006121756,-0.70720781,0,0,4,0,2,0,2,5,7,2
2004,2A,15,90.41,44,0.5,0.399239109,4.005157281,2.547354136,0,0,4,0,3,0,2,5,8,3
2004,2A,16,88.805,44.58333333,0.625,0.360402826,4.005165299,4.567637982,0,0,4,0,4,0,2,5,9,4
2004,2A,13,88.805,41.16666667,0.5,0.034958322,0.989859238,1.120458711,0,0,1,1,1,0,0,0,0,0
2004,2A,14,88.61,41.41666667,0.5,-0.041309077,1.002847962,2.402277795,0,0,1,0,2,0,0,0,0,0
2004,2A,15,88.43,41.58333333,0.5,-0.062598855,1.002668801,2.681234377,0,0,1,0,3,0,0,0,0,0
2004,2A,16,87.98,42,0.625,-0.068423251,1.002335583,2.951390686,0,0,1,0,4,0,0,0,0,0
2004,2A,13,89.585,44.5,0.5,0.809455035,5.327603526,-10.40051784,0,0,6,8,1,0,2,8,9,1
2004,2A,14,88.805,45.83333333,0.5,0.577395862,6.006188406,-6.051893492,0,0,6,0,2,0,2,8,10,2
2004,2A,15,86.825,50.83333333,0.5,0.54891918,6.005682689,-3.057641946,0,0,6,0,3,0,2,8,11,3
2004,2A,16,84.845,57.33333333,0.625,0.57246041,6.006187487,1.125668548,0,0,6,0,4,0,2,8,12,4
2004,2A,13,88.43,49.08333333,0.5,0.630516815,2.589720241,-8.244089662,0,0,3,7,1,0,4,4,5,1
2004,2A,14,87.98,53.75,0.5,0.427062509,3.007244696,0.456474973,0,0,3,0,2,0,4,4,6,2
2004,2A,15,87.455,56.16666667,0.5,0.352342429,3.002830281,5.518121869,0,0,3,0,3,0,4,4,7,3
2004,2A,16,87.605,54.08333333,0.625,0.259180288,3.001061087,6.698514906,0,0,3,0,4,0,4,4,8,4
2004,2A,13,86.495,54,0.5,0.38827987,1.96478499,0.408837629,0,0,2,3,1,0,1,7,8,1
2004,2A,14,81.08,63.66666667,0.5,0.160855991,2.0020593,4.323892142,0,0,2,0,2,0,1,7,9,2
2004,2A,15,79.61,71.08333333,0.5,0.101397617,2.001734339,5.025040361,0,0,2,0,3,0,1,7,10,3
2004,2A,16,78.905,75.16666667,0.625,0.070416086,2.001061274,5.433826197,0,0,2,0,4,0,1,7,11,4
2004,2A,13,89.885,51.08333333,0.5,0.898826954,4.417251977,-7.843876907,0,0,5,8,1,0,3,5,6,1
2004,2A,14,88.43,54.58333333,0.5,0.648102757,5.007032931,0.541822228,0,0,5,0,2,0,3,5,7,2
2004,2A,15,83.36,62,0.5,0.565285225,5.005308727,5.15130311,0,0,5,0,3,0,3,5,8,3
2004,2A,16,80.585,65.83333333,0.625,0.493202265,5.003846657,7.514337589,0,0,5,0,4,0,3,5,9,4
2004,2A,13,91.94,43.41666667,0.5,0.059285172,0.988310092,2.2891439,0,0,1,1,1,0,0,0,0,0
2004,2A,14,91.94,43.58333333,0.5,-0.045572191,1.000716131,3.25475787,0,0,1,0,2,0,0,0,0,0
2004,2A,15,87.845,53.91666667,0.5,-0.061074398,0.999883835,3.429834977,0,0,1,0,3,0,0,0,0,0
2004,2A,16,83.765,62.16666667,0.625,-0.072515384,1.000165147,3.589420025,0,0,1,0,4,0,0,0,0,0
2004,2A,13,87.98,52.83333333,0.5,0.737254329,4.768975883,-2.667743587,0,0,5,5,1,0,0,0,0,0
2004,2A,14,89.765,50.83333333,0.5,0.565074492,5.006046442,2.670453462,0,0,5,0,2,0,0,0,0,0
2004,2A,15,84.635,65.16666667,0.5,0.518425905,5.003448852,6.855055777,0,0,5,0,3,0,0,0,0,0
2004,2A,16,78.905,82.41666667,0.625,0.427265683,5.002903228,8.838609111,0,0,5,0,4,0,0,0,0,0
2004,2A,13,77,88,0.5,0.761243819,5.447429783,-3.950509885,0,0,6,6,1,0,4,3,4,1
2004,2A,14,77,85.66666667,0.5,0.565446461,6.003437014,1.156266281,0,0,6,0,2,0,4,3,5,2
2004,2A,15,77,86.33333333,0.5,0.536749647,6.004193769,3.918882496,0,0,6,0,3,0,4,3,6,3
2004,2A,16,76.37,88,0.625,0.531151965,5.999437738,6.873163285,0,0,6,0,4,0,4,3,7,4
2004,2A,13,87.455,65.08333333,0.5,0.312402596,1.987604496,2.526636618,0,0,2,2,1,0,0,0,0,0
2004,2A,14,81.2,83.16666667,0.5,0.098296932,2.000971786,5.086105926,0,0,2,0,2,0,0,0,0,0
2004,2A,15,77.63,91.66666667,0.5,0.055434561,2.000603976,5.313055564,0,0,2,0,3,0,0,0,0,0
2004,2A,16,78.605,87.08333333,0.625,0.040278982,2.000162447,5.193749586,0,0,2,0,4,0,0,0,0,0
2004,2A,13,82.355,78.41666667,0.5,0.951026191,4.500515325,-2.884257691,0,0,5,7,1,0,2,5,6,1
2004,2A,14,80.135,78.66666667,0.5,0.654121456,5.005485922,6.538391419,0,0,5,0,2,0,2,5,7,2
2004,2A,15,79.805,79.58333333,0.5,0.513550265,5.001861069,9.143707254,0,0,5,0,3,0,2,5,8,3
2004,2A,16,78.455,87.91666667,0.625,0.448814216,5.003014256,10.07936414,0,0,5,0,4,0,2,5,9,4
2004,2A,13,91.04,49.41666667,0.5,0.980694613,5.231080596,-9.553068406,0,0,6,9,1,0,3,3,4,1
2004,2A,14,91.04,47.83333333,0.5,0.676612381,6.006602621,-2.636188086,0,0,6,0,2,0,3,3,5,2
2004,2A,15,91.04,45.83333333,0.5,0.603659385,6.005071329,0.720941113,0,0,6,0,3,0,3,3,6,3
2004,2A,16,89.885,49.08333333,0.625,0.598322476,6.005627883,3.450229558,0,0,6,0,4,0,3,3,7,4
2004,2A,13,78.845,84.83333333,0.5,0.506099679,2.939121394,2.370633004,0,0,3,3,1,0,0,0,0,0
2004,2A,14,76.55,90.5,0.5,0.251605481,3.002007698,6.294879586,0,0,3,0,2,0,0,0,0,0
2004,2A,15,77.63,87.41666667,0.5,0.189114416,3.000451529,6.530900953,0,0,3,0,3,0,0,0,0,0
2004,2A,16,78.08,85.83333333,0.625,0.159028299,3.000897202,6.46111015,0,0,3,0,4,0,0,0,0,0
2004,2A,13,90.59,45.25,0,-3.56E-09,-0.017897742,0.806438571,0,0,2,3,1,0,1,3,4,1
2004,2A,14,91.04,44.58333333,0,0.001458165,-0.013919307,0.760589474,0,0,2,0,2,0,1,3,5,2
2004,2A,15,88.73,52,0,0.005258729,-0.002745061,0.714680917,0,0,2,0,3,0,1,3,6,3
2004,2A,16,85.82,59.33333333,0,0.007931469,0.007779944,0.679649476,0,0,2,0,4,0,1,3,7,4
2004,2A,13,83.06,68.16666667,0.5,0.533891396,2.958179709,3.34099772,0,0,3,3,1,0,3,3,4,1
2004,2A,14,80.96,70.75,0.5,0.250651039,3.001302394,6.64151948,0,0,3,0,2,0,3,3,5,2
2004,2A,15,79.805,73.16666667,0.5,0.189308366,3.000798589,6.676917689,0,0,3,0,3,0,3,3,6,3
2004,2A,16,78.455,72.25,0.625,0.164920363,3.000740259,6.240447834,0,0,3,0,4,0,3,3,7,4
2004,2A,13,79.235,76.08333333,0.5,0.284972033,1.984226676,2.140605116,0,0,2,2,1,0,0,0,0,0
2004,2A,14,81.215,64.66666667,0.5,0.094325009,2.000846881,3.789155233,0,0,2,0,2,0,0,0,0,0
2004,2A,15,82.565,58.58333333,0.5,0.066369699,2.001836393,2.934659907,0,0,2,0,3,0,0,0,0,0
2004,2A,16,82.94,56.66666667,0.625,0.055436452,2.000069271,3.992179947,0,0,2,0,4,0,0,0,0,0
2004,2A,13,86.18,57,0.5,0.441506767,2.947615607,0.001536012,0,0,3,3,1,0,0,0,0,0
2004,2A,14,87.08,58.16666667,0.5,0.294185962,3.003298258,4.549053928,0,0,3,0,2,0,0,0,0,0
2004,2A,15,85.295,61.33333333,0.5,0.216421914,3.001480516,5.640571582,0,0,3,0,3,0,0,0,0,0
2004,2A,16,84.545,63,0.625,0.183704262,3.001224705,5.902184203,0,0,3,0,4,0,0,0,0,0
2004,2A,13,87.08,55.83333333,0.5,0.834295322,5.608039757,-4.401857574,0,0,6,6,1,0,0,0,0,0
2004,2A,14,87.08,55,0.5,0.614515516,6.0058602,0.481250052,0,0,6,0,2,0,0,0,0,0
2004,2A,15,86.45,57.33333333,0.5,0.588473234,6.005131079,3.662469731,0,0,6,0,3,0,0,0,0,0
2004,2A,16,84.845,61.33333333,0.625,0.577340687,6.004946293,6.777845586,0,0,6,0,4,0,0,0,0,0
2004,2A,13,88.61,58.16666667,0.5,0.324025871,1.993339942,3.032589386,0,0,2,2,1,0,0,0,0,0
2004,2A,14,89.06,57.83333333,0.5,0.110706742,2.001169277,5.210379219,0,0,2,0,2,0,0,0,0,0
2004,2A,15,87.275,61.66666667,0.5,0.070861439,2.000919434,5.202310948,0,0,2,0,3,0,0,0,0,0
2004,2A,16,86,66.16666667,0.625,0.052064087,2.001287382,5.219229608,0,0,2,0,4,0,0,0,0,0
2004,2A,13,80.585,62.83333333,0.5,0.554412219,2.630885431,-6.602535753,0,0,3,6,1,0,3,8,9,1
2004,2A,14,80.435,63.16666667,0.5,0.330122006,3.004773365,-1.993155237,0,0,3,0,2,0,3,8,10,2
2004,2A,15,79.43,68.66666667,0.5,0.327247293,3.006125254,2.078225324,0,0,3,0,3,0,3,8,11,3
2004,2A,16,77.825,73.16666667,0.625,0.274903286,3.003252332,5.85675565,0,0,3,0,4,0,3,8,12,4
2004,2A,13,86.18,46,0.5,0.623630926,4.467409063,-10.19048791,0,0,5,7,1,0,2,5,6,1
2004,2A,14,88.235,41.91666667,0.5,0.400214902,5.004219858,-7.204454904,0,0,5,0,2,0,2,5,7,2
2004,2A,15,87.905,47.16666667,0.5,0.413194548,5.005106426,-4.667430673,0,0,5,0,3,0,2,5,8,3
2004,2A,16,85.295,58.83333333,0.625,0.499347445,5.006843825,0.911953291,0,0,5,0,4,0,2,5,9,4
2004,2A,13,89.135,45.66666667,0.5,0.446547143,2.864017796,-3.500654766,0,0,3,4,1,0,1,8,9,1
2004,2A,14,89.435,44.58333333,0.5,0.275271023,3.005926855,0.3083824,0,0,3,0,2,0,1,8,10,2
2004,2A,15,89.06,44.41666667,0.5,0.245767296,3.005412723,2.424053189,0,0,3,0,3,0,1,8,11,3
2004,2A,16,88.43,44.58333333,0.625,0.222682859,3.00320241,4.015965027,0,0,3,0,4,0,1,8,12,4
2004,2A,13,91.94,36.41666667,0.5,0.309758113,2.957998868,-3.341549444,0,0,3,3,1,0,0,0,0,0
2004,2A,14,90.785,37.16666667,0.5,0.161773475,3.003405661,-2.151500528,0,0,3,0,2,0,0,0,0,0
2004,2A,15,88.805,40.91666667,0.5,0.152557311,3.004707229,-1.139267493,0,0,3,0,3,0,0,0,0,0
2004,2A,16,87.455,44.16666667,0.625,0.170985516,3.005608531,0.921224809,0,0,3,0,4,0,0,0,0,0
2004,2A,13,90.59,36.16666667,0.5,0.417774518,3.892985777,-5.381365243,0,0,4,4,1,0,0,0,0,0
2004,2A,14,91.565,34.66666667,0.5,0.248669303,4.004691967,-3.993485683,0,0,4,0,2,0,0,0,0,0
2004,2A,15,90.785,35.33333333,0.5,0.213046556,4.003766524,-3.252983149,0,0,4,0,3,0,0,0,0,0
2004,2A,16,88.805,42.83333333,0.625,0.269249336,4.005964614,-0.908289399,0,0,4,0,4,0,0,0,0,0
2004,2A,13,93.02,33,0.5,0.479329719,2.728522015,-8.372727464,0,0,3,6,1,0,3,5,6,1
2004,2A,14,91.865,33.58333333,0.5,0.211856814,3.004827258,-5.453756448,0,0,3,0,2,0,3,5,7,2
2004,2A,15,91.565,35.75,0.5,0.192261116,3.005060716,-3.400295107,0,0,3,0,3,0,3,5,8,3
2004,2A,16,90.26,39.33333333,0.625,0.218446201,3.005750026,-0.249612413,0,0,3,0,4,0,3,5,9,4
2004,2A,13,93.215,49.33333333,0.5,0.267846761,0.973187618,0.28414399,0,0,1,3,1,0,2,1,2,1
2004,2A,14,89.105,60.08333333,0.5,-0.006993068,1.002035453,4.038898522,0,0,1,0,2,0,2,1,3,2
2004,2A,15,87.08,63,0.5,-0.054770816,1.001305216,4.221368437,0,0,1,0,3,0,2,1,4,3
2004,2A,16,84.665,68.25,0.625,-0.067121018,1.001107593,4.177004472,0,0,1,0,4,0,2,1,5,4
2004,2A,13,85.82,64.25,0.5,0.70911098,2.783879368,-0.367556637,0,0,3,5,1,0,2,8,9,1
2004,2A,14,84.395,62.75,0.5,0.377295721,3.003139126,6.597086134,0,0,3,0,2,0,2,8,10,2
2004,2A,15,85.805,59,0.5,0.267894293,3.000730789,7.176692901,0,0,3,0,3,0,2,8,11,3
2004,2A,16,87.08,61.33333333,0.625,0.229624341,3.002202783,7.209007363,0,0,3,0,4,0,2,8,12,4
2004,2A,13,88.94,60.58333333,0.5,0.322107839,1.993553174,3.438653692,0,0,2,2,1,0,0,0,0,0
2004,2A,14,91.04,53.66666667,0.5,0.101633039,2.001864709,5.234627078,0,0,2,0,2,0,0,0,0,0
2004,2A,15,91.04,52,0.5,0.066954872,2.000129887,5.015673888,0,0,2,0,3,0,0,0,0,0
2004,2A,16,88.73,57.25,0.625,0.053377752,2.00130104,4.953372327,0,0,2,0,4,0,0,0,0,0
2004,2A,13,84.965,70.66666667,0.5,0.868398669,4.772141866,0.613654204,0,0,5,5,1,0,0,0,0,0
2004,2A,14,83.195,76.08333333,0.5,0.586362623,5.004585533,8.150506113,0,0,5,0,2,0,0,0,0,0
2004,2A,15,81.08,78.66666667,0.5,0.44263284,5.002726307,9.542529653,0,0,5,0,3,0,0,0,0,0
2004,2A,16,80.765,80.25,0.625,0.391611026,5.001581492,9.586716338,0,0,5,0,4,0,0,0,0,0
2004,2A,13,90.785,55.66666667,0.5,1.028952158,5.546592582,-3.715972333,0,0,6,7,1,0,1,4,5,1
2004,2A,14,88.805,63.08333333,0.5,0.80133696,6.007164037,5.783715619,0,0,6,0,2,0,1,4,6,2
2004,2A,15,87.98,66,0.5,0.646457536,6.002904658,10.02417386,0,0,6,0,3,0,1,4,7,3
2004,2A,16,85.67,66.58333333,0.625,0.539204148,6.002544351,10.69102559,0,0,6,0,4,0,1,4,8,4
2004,2A,13,91.115,54.83333333,0.5,0.54189309,1.908937246,0.9351068,0,0,2,4,1,0,2,5,6,1
2004,2A,14,89.63,58.08333333,0.5,0.187168116,2.002205682,5.77310908,0,0,2,0,2,0,2,5,7,2
2004,2A,15,87.98,65.08333333,0.5,0.108462838,2.000728258,6.068752263,0,0,2,0,3,0,2,5,8,3
2004,2A,16,84.515,67.41666667,0.625,0.071378752,2.000758433,5.884068413,0,0,2,0,4,0,2,5,9,4
2004,2A,13,89.255,58.91666667,0.5,0.873613126,4.784280488,0.255924207,0,0,5,5,1,0,0,0,0,0
2004,2A,14,87.455,62.16666667,0.5,0.601931592,5.004854944,7.312480229,0,0,5,0,2,0,0,0,0,0
2004,2A,15,87.08,64.16666667,0.5,0.47010466,5.00264982,8.995059802,0,0,5,0,3,0,0,0,0,0
2004,2A,16,81.2,74.91666667,0.625,0.403409633,5.001858675,9.20101157,0,0,5,0,4,0,0,0,0,0
2004,2A,13,89.06,58.16666667,0.5,0.062214157,0.987893835,2.612151501,0,0,1,1,1,0,1,2,3,1
2004,2A,14,87.905,64.25,0.5,-0.051223754,1.00019197,3.556330583,0,0,1,0,2,0,1,2,4,2
2004,2A,15,87.605,65.08333333,0.5,-0.071447804,1.000957738,3.603507926,0,0,1,0,3,0,1,2,5,3
2004,2A,16,87.98,63,0.625,-0.07799189,1.001254394,3.548600528,0,0,1,0,4,0,1,2,6,4
2004,2A,13,87.275,56.91666667,0.5,0.497637734,1.898481316,-0.448115968,0,0,2,4,1,0,2,7,8,1
2004,2A,14,87.155,60.16666667,0.5,0.216984103,2.002287617,5.20184326,0,0,2,0,2,0,2,7,9,2
2004,2A,15,86.825,64.5,0.5,0.122294509,2.001640763,5.99652765,0,0,2,0,3,0,2,7,10,3
2004,2A,16,83.06,75.75,0.625,0.084814142,2.00096024,6.056773884,0,0,2,0,4,0,2,7,11,4
2004,2A,13,86.33,70.83333333,0.5,0.877958844,4.737800021,0.784822709,0,0,5,5,1,0,0,0,0,0
2004,2A,14,88.61,61.83333333,0.5,0.58265749,5.003435138,7.854757975,0,0,5,0,2,0,0,0,0,0
2004,2A,15,88.43,58.91666667,0.5,0.464097045,5.001510423,8.628198792,0,0,5,0,3,0,0,0,0,0
2004,2A,16,88.61,61,0.625,0.420316396,5.002357057,8.899812149,0,0,5,0,4,0,0,0,0,0
2004,2A,13,92.39,56,0.5,0.935687047,2.629460226,-1.782638419,0,0,3,7,1,0,4,7,8,1
2004,2A,14,91.94,53.66666667,0.5,0.483877247,3.003985174,7.315772624,0,0,3,0,2,0,4,7,9,2
2004,2A,15,91.415,52,0.5,0.317729286,3.00172105,8.21028835,0,0,3,0,3,0,4,7,10,3
2004,2A,16,90.41,54.33333333,0.625,0.26428374,3.001785383,7.92292307,0,0,3,0,4,0,4,7,11,4
2004,2A,13,86.36,73.08333333,0.5,1.072677459,5.68212206,0.536350752,0,0,6,6,1,0,0,0,0,0
2004,2A,14,80.96,87.5,0.5,0.74120441,6.004474016,10.11306439,0,0,6,0,2,0,0,0,0,0
2004,2A,15,83.27,82.08333333,0.5,0.566974616,6.001317714,11.76062275,0,0,6,0,3,0,0,0,0,0
2004,2A,16,83.24,82.91666667,0.625,0.498526593,6.001082569,11.73636242,0,0,6,0,4,0,0,0,0,0
2004,2A,13,91.565,42.25,0.5,0.049900234,0.988321974,2.35190661,0,0,1,1,1,0,0,0,0,0
2004,2A,14,91.415,46.25,0.5,-0.051178584,1.000282998,3.353462154,0,0,1,0,2,0,0,0,0,0
2004,2A,15,90.41,54.66666667,0.5,-0.069915842,1.001307996,3.628782496,0,0,1,0,3,0,0,0,0,0
2004,2A,16,83.555,70.25,0.625,-0.080553847,1.001293502,3.827358395,0,0,1,0,4,0,0,0,0,0
2004,2A,13,89.06,63.83333333,0.5,0.064984192,0.987578105,3.16477331,0,0,1,1,1,0,0,0,0,0
2004,2A,14,89.585,64.75,0.5,-0.051722984,1.001047191,3.804030082,0,0,1,0,2,0,0,0,0,0
2004,2A,15,89.96,63.66666667,0.5,-0.070214202,1.001043839,3.728123104,0,0,1,0,3,0,0,0,0,0
2004,2A,16,88.28,63.75,0.625,-0.076260006,1.001220989,3.642070852,0,0,1,0,4,0,0,0,0,0
2004,2A,13,87.605,67.66666667,0,0,0.042268449,0.35039876,0,0,5,8,1,0,3,4,5,1
2004,2A,14,87.98,66,0,9.10E-10,0.048875134,0.335067454,0,0,5,0,2,0,3,4,6,2
2004,2A,15,87.455,68.33333333,0,0,0.047306958,0.332656761,0,0,5,0,3,0,3,4,7,3
2004,2A,16,86.45,71.16666667,0,1.08E-09,0.045452523,0.328886529,0,0,5,0,4,0,3,4,8,4
2004,2A,13,89.06,63.83333333,0.5,0.573231543,0.845831809,0.41536842,0,0,1,5,1,0,4,5,6,1
2004,2A,14,87.275,64.16666667,0.5,0.105030474,1.002151394,5.803949114,0,0,1,0,2,0,4,5,7,2
2004,2A,15,86,65,0.5,0.021494269,1.001065459,5.724758707,0,0,1,0,3,0,4,5,8,3
2004,2A,16,86.63,66.75,0.625,-0.005172019,1.001058017,5.42049255,0,0,1,0,4,0,4,5,9,4
2004,2A,13,91.94,53.16666667,0.5,0.56599238,2.964905901,3.125874861,0,0,3,3,1,0,0,0,0,0
2004,2A,14,90.26,55.75,0.5,0.265862692,3.002304505,6.670097651,0,0,3,0,2,0,0,0,0,0
2004,2A,15,89.06,61.66666667,0.5,0.199955945,3.000636959,6.838272433,0,0,3,0,3,0,0,0,0,0
2004,2A,16,87.905,63.83333333,0.625,0.166254536,3.000331866,6.790024752,0,0,3,0,4,0,0,0,0,0
2004,2A,13,94.175,43.16666667,0.5,0.667942275,3.901657278,0.060551221,0,0,4,4,1,0,2,2,3,1
2004,2A,14,94.37,43.08333333,0.5,0.461923228,4.005418095,4.899749518,0,0,4,0,2,0,2,2,4,2
2004,2A,15,92.24,50.66666667,0.5,0.360942646,4.001939218,7.016291166,0,0,4,0,3,0,2,2,5,3
2004,2A,16,89.885,56.91666667,0.625,0.298225114,4.00134851,7.544979037,0,0,4,0,4,0,2,2,6,4
2004,2A,13,89.435,59.75,0.5,0.550473657,2.961132655,3.007447163,0,0,3,3,1,0,0,0,0,0
2004,2A,14,89.06,59.83333333,0.5,0.250623724,3.002484812,6.515215597,0,0,3,0,2,0,0,0,0,0
2004,2A,15,88.43,63.08333333,0.5,0.189010135,3.001859376,6.608335214,0,0,3,0,3,0,0,0,0,0
2004,2A,16,87.98,64.25,0.625,0.159493895,3.000572062,6.54452318,0,0,3,0,4,0,0,0,0,0
2004,2A,13,77.45,86.75,0.5,0.063731054,0.987743796,2.789185012,0,0,1,1,1,0,0,0,0,0
2004,2A,14,78.155,86.25,0.5,-0.047237832,1.001116153,3.570252317,0,0,1,0,2,0,0,0,0,0
2004,2A,15,80.765,81.5,0.5,-0.064340218,1.000196053,3.487315755,0,0,1,0,3,0,0,0,0,0
2004,2A,16,82.04,77.83333333,0.625,-0.072521918,0.999915173,3.429652555,0,0,1,0,4,0,0,0,0,0
2004,2A,13,73.865,82.25,0.5,0.794474282,5.253211312,-5.073771878,0,0,6,6,1,0,0,0,0,0
2004,2A,14,74.195,82.75,0.5,0.720345347,5.841354101,-1.673878967,0,0,6,0,2,0,0,0,0,0
2004,2A,15,75.02,87.5,0.5,0.583007742,6.005021398,3.658718306,0,0,6,0,3,0,0,0,0,0
2004,2A,16,75.02,90,0.625,0.561980363,6.00418627,8.226552558,0,0,6,0,4,0,0,0,0,0
2004,2A,13,76.355,87.5,0.5,0.733211705,4.299670843,-6.492891566,0,0,5,7,1,0,2,6,7,1
2004,2A,14,79.235,81.5,0.5,0.564604423,5.005790522,1.084450249,0,0,5,0,2,0,2,6,8,2
2004,2A,15,79.43,82.5,0.5,0.544073186,5.001997511,5.822051898,0,0,5,0,3,0,2,6,9,3
2004,2A,16,78.455,86.16666667,0.625,0.468752522,4.998885502,8.4347019,0,0,5,0,4,0,2,6,10,4
2004,2A,13,75.665,93.58333333,0.5,0.935938735,4.523596137,-9.320855518,0,0,6,10,1,0,4,7,8,1
2004,2A,14,74.57,91.66666667,0.5,0.639035701,5.972149637,-2.763483065,0,0,6,0,2,0,4,7,9,2
2004,2A,15,77.33,83.58333333,0.5,0.609368788,5.995583276,1.462566604,0,0,6,0,3,0,4,7,10,3
2004,2A,16,78.98,82.5,0.625,0.637125307,5.992497554,5.695509539,0,0,6,0,4,0,4,7,11,4
2004,2A,13,91.865,52.25,0.5,0.8565257,3.708406161,-2.343980599,0,0,4,6,1,0,2,7,8,1
2004,2A,14,91.04,56,0.5,0.582322019,4.004912537,6.484157433,0,0,4,0,2,0,2,7,9,2
2004,2A,15,91.04,56,0.5,0.411249494,4.001545183,8.564852076,0,0,4,0,3,0,2,7,10,3
2004,2A,16,90.41,57.16666667,0.625,0.343079827,4.001781953,8.626536366,0,0,4,0,4,0,2,7,11,4
2004,2A,13,95,47.16666667,0.5,1.007954732,5.695428829,-2.147391354,0,0,6,6,1,0,0,0,0,0
2004,2A,14,94.37,48.58333333,0.5,0.768976751,6.006636281,5.566903628,0,0,6,0,2,0,0,0,0,0
2004,2A,15,92.765,50.75,0.5,0.639163939,6.002868977,8.861639605,0,0,6,0,3,0,0,0,0,0
2004,2A,16,91.415,57.25,0.625,0.557011471,6.001736775,9.941237795,0,0,6,0,4,0,0,0,0,0
2004,2A,13,93.92,46.83333333,0.5,0.704844212,2.815328631,-1.002818536,0,0,3,5,1,0,2,8,9,1
2004,2A,14,95.18,44.25,0.5,0.406648083,3.004519666,5.615160299,0,0,3,0,2,0,2,8,10,2
2004,2A,15,93.665,49.41666667,0.5,0.279903027,3.001838634,6.879555988,0,0,3,0,3,0,2,8,11,3
